index,image,groundTruth,improved_mobilenet_aux,improved_mobilenet_aux_abs_error,legacy_original_cnn,legacy_original_cnn_abs_error
0,E:\桌面\data1\0_0.0000.jpg,0.0,-0.025965288281440735,0.025965288281440735,0.7124346494674683,0.7124346494674683
1,E:\桌面\data1\1_0.0000.jpg,0.0,0.17735019326210022,0.17735019326210022,-0.05353006720542908,0.05353006720542908
2,E:\桌面\data1\2_0.0000.jpg,0.0,0.03821766376495361,0.03821766376495361,0.03603902459144592,0.03603902459144592
3,E:\桌面\data1\3_0.0000.jpg,0.0,0.23274371027946472,0.23274371027946472,-0.002312183380126953,0.002312183380126953
4,E:\桌面\data1\4_0.0000.jpg,0.0,1.0306711196899414,1.0306711196899414,-0.007983535528182983,0.007983535528182983
5,E:\桌面\data1\5_0.0000.jpg,0.0,-0.24538737535476685,0.24538737535476685,0.018858879804611206,0.018858879804611206
6,E:\桌面\data1\6_0.0000.jpg,0.0,0.17712830007076263,0.17712830007076263,-0.11265560984611511,0.11265560984611511
7,E:\桌面\data1\7_0.0000.jpg,0.0,0.10693228244781494,0.10693228244781494,0.12332624197006226,0.12332624197006226
8,E:\桌面\data1\8_0.0000.jpg,0.0,0.16037550568580627,0.16037550568580627,-0.10035958886146545,0.10035958886146545
9,E:\桌面\data1\9_0.0000.jpg,0.0,0.03497989475727081,0.03497989475727081,0.024731293320655823,0.024731293320655823
10,E:\桌面\data1\10_0.0000.jpg,0.0,-0.2462736964225769,0.2462736964225769,-0.15216907858848572,0.15216907858848572
11,E:\桌面\data1\11_0.0000.jpg,0.0,0.10926227271556854,0.10926227271556854,0.09648308157920837,0.09648308157920837
12,E:\桌面\data1\12_0.0000.jpg,0.0,-0.01662084460258484,0.01662084460258484,0.14469462633132935,0.14469462633132935
13,E:\桌面\data1\13_0.0000.jpg,0.0,0.03594460338354111,0.03594460338354111,0.13457641005516052,0.13457641005516052
14,E:\桌面\data1\14_0.0000.jpg,0.0,-0.034801870584487915,0.034801870584487915,0.3241558372974396,0.3241558372974396
15,E:\桌面\data1\15_0.0000.jpg,0.0,-0.9561974406242371,0.9561974406242371,-0.2460896074771881,0.2460896074771881
16,E:\桌面\data1\16_0.0000.jpg,0.0,-0.016243547201156616,0.016243547201156616,0.11944347620010376,0.11944347620010376
17,E:\桌面\data1\17_0.0000.jpg,0.0,0.054421231150627136,0.054421231150627136,0.32463547587394714,0.32463547587394714
18,E:\桌面\data1\18_0.0000.jpg,0.0,0.14275938272476196,0.14275938272476196,0.32734984159469604,0.32734984159469604
19,E:\桌面\data1\19_0.0000.jpg,0.0,0.26200374960899353,0.26200374960899353,0.3926439583301544,0.3926439583301544
20,E:\桌面\data1\20_0.0000.jpg,0.0,0.1616130769252777,0.1616130769252777,0.7812793254852295,0.7812793254852295
21,E:\桌面\data1\21_0.0000.jpg,0.0,-0.022141441702842712,0.022141441702842712,0.02075713872909546,0.02075713872909546
22,E:\桌面\data1\22_0.0000.jpg,0.0,0.5773330330848694,0.5773330330848694,-0.07378822565078735,0.07378822565078735
23,E:\桌面\data1\23_0.0000.jpg,0.0,0.1513751745223999,0.1513751745223999,-0.04072326421737671,0.04072326421737671
24,E:\桌面\data1\24_0.0000.jpg,0.0,-0.07965654134750366,0.07965654134750366,0.3820666968822479,0.3820666968822479
25,E:\桌面\data1\25_0.0000.jpg,0.0,0.9246602654457092,0.9246602654457092,0.5705630779266357,0.5705630779266357
26,E:\桌面\data1\26_0.0000.jpg,0.0,-0.355196475982666,0.355196475982666,0.7552591562271118,0.7552591562271118
27,E:\桌面\data1\27_0.0000.jpg,0.0,-0.023916244506835938,0.023916244506835938,0.02874375879764557,0.02874375879764557
28,E:\桌面\data1\28_0.0000.jpg,0.0,0.1209191232919693,0.1209191232919693,1.1756675243377686,1.1756675243377686
29,E:\桌面\data1\29_1.5110.jpg,1.511,1.57053804397583,0.05953804397583018,1.192708969116211,0.31829103088378896
30,E:\桌面\data1\30_1.5110.jpg,1.511,1.3015358448028564,0.20946415519714345,1.4327752590179443,0.07822474098205556
31,E:\桌面\data1\31_1.5110.jpg,1.511,0.07998278737068176,1.4310172126293181,1.4094496965408325,0.10155030345916738
32,E:\桌面\data1\32_1.5110.jpg,1.511,1.523055076599121,0.012055076599121195,1.5424883365631104,0.03148833656311045
33,E:\桌面\data1\33_1.5110.jpg,1.511,1.5892102718353271,0.07821027183532725,1.4686603546142578,0.042339645385742086
34,E:\桌面\data1\34_1.5110.jpg,1.511,0.7366339564323425,0.7743660435676574,1.369600772857666,0.14139922714233388
35,E:\桌面\data1\35_1.5110.jpg,1.511,1.4688210487365723,0.04217895126342763,-0.2037639319896698,1.7147639319896697
36,E:\桌面\data1\36_1.5110.jpg,1.511,1.5150177478790283,0.0040177478790284216,1.5068281888961792,0.0041718111038206995
37,E:\桌面\data1\37_1.5110.jpg,1.511,1.5449936389923096,0.03399363899230967,1.5273864269256592,0.01638642692565928
38,E:\桌面\data1\38_0.0000.jpg,0.0,0.04648410528898239,0.04648410528898239,0.3488002419471741,0.3488002419471741
39,E:\桌面\data1\39_1.5110.jpg,1.511,1.1113431453704834,0.3996568546295165,1.2600681781768799,0.25093182182312
40,E:\桌面\data1\40_1.5110.jpg,1.511,1.543332576751709,0.032332576751709086,1.538759708404541,0.027759708404541117
41,E:\桌面\data1\41_1.5110.jpg,1.511,1.5889225006103516,0.07792250061035166,1.56400728225708,0.05300728225708018
42,E:\桌面\data1\42_1.5110.jpg,1.511,1.6340181827545166,0.1230181827545167,1.2643312215805054,0.24666877841949453
43,E:\桌面\data1\43_1.5110.jpg,1.511,1.609046459197998,0.09804645919799815,1.0599700212478638,0.45102997875213613
44,E:\桌面\data1\44_1.5110.jpg,1.511,1.5155105590820312,0.004510559082031351,1.5577620267868042,0.0467620267868043
45,E:\桌面\data1\45_1.5110.jpg,1.511,1.4833149909973145,0.027685009002685446,1.343519926071167,0.1674800739288329
46,E:\桌面\data1\46_1.5110.jpg,1.511,1.596156358718872,0.08515635871887217,1.5521804094314575,0.04118040943145762
47,E:\桌面\data1\47_1.5110.jpg,1.511,1.5628373622894287,0.05183736228942881,1.4294534921646118,0.08154650783538808
48,E:\桌面\data1\48_1.5110.jpg,1.511,1.5230457782745361,0.012045778274536234,1.5328959226608276,0.021895922660827738
49,E:\桌面\data1\49_0.0000.jpg,0.0,0.043681174516677856,0.043681174516677856,0.017629414796829224,0.017629414796829224
50,E:\桌面\data1\50_1.5110.jpg,1.511,1.4493131637573242,0.06168683624267568,0.5032777786254883,1.0077222213745116
51,E:\桌面\data1\51_1.5110.jpg,1.511,1.413619041442871,0.0973809585571288,1.5622414350509644,0.05124143505096446
52,E:\桌面\data1\52_1.5110.jpg,1.511,1.4632818698883057,0.047718130111694235,1.544334053993225,0.0333340539932252
53,E:\桌面\data1\53_1.5110.jpg,1.511,1.477095127105713,0.03390487289428701,1.6016943454742432,0.09069434547424327
54,E:\桌面\data1\54_1.5110.jpg,1.511,1.2929108142852783,0.21808918571472158,1.3864978551864624,0.1245021448135375
55,E:\桌面\data1\55_1.5110.jpg,1.511,1.5019464492797852,0.009053550720214742,1.5905996561050415,0.0795996561050416
56,E:\桌面\data1\56_1.5110.jpg,1.511,1.5338270664215088,0.02282706642150889,1.6257771253585815,0.11477712535858164
57,E:\桌面\data1\57_1.5110.jpg,1.511,1.5366179943084717,0.02561799430847178,1.5861260890960693,0.07512608909606944
58,E:\桌面\data1\58_1.5110.jpg,1.511,1.5551612377166748,0.044161237716674906,1.516593337059021,0.005593337059021097
59,E:\桌面\data1\59_1.5110.jpg,1.511,1.4771673679351807,0.033832632064819235,1.395039439201355,0.11596056079864492
60,E:\桌面\data1\60_0.0000.jpg,0.0,0.08798173815011978,0.08798173815011978,0.4421050250530243,0.4421050250530243
61,E:\桌面\data1\61_1.5110.jpg,1.511,1.4812500476837158,0.02974995231628408,1.6325558423995972,0.12155584239959727
62,E:\桌面\data1\62_1.5110.jpg,1.511,1.5253632068634033,0.014363206863403422,1.460072636604309,0.05092736339569082
63,E:\桌面\data1\63_1.5110.jpg,1.511,1.5035083293914795,0.0074916706085204066,1.6357266902923584,0.1247266902923585
64,E:\桌面\data1\64_1.5110.jpg,1.511,1.4303698539733887,0.08063014602661123,1.4706822633743286,0.040317736625671285
65,E:\桌面\data1\65_1.5110.jpg,1.511,1.363053798675537,0.1479462013244628,1.4819974899291992,0.02900251007080068
66,E:\桌面\data1\66_1.5110.jpg,1.511,1.4527392387390137,0.05826076126098623,1.5484039783477783,0.03740397834777842
67,E:\桌面\data1\67_1.5110.jpg,1.511,1.500511646270752,0.010488353729247946,1.458536982536316,0.05246301746368398
68,E:\桌面\data1\68_1.5110.jpg,1.511,1.563084363937378,0.05208436393737803,1.521690845489502,0.010690845489502054
69,E:\桌面\data1\69_1.5110.jpg,1.511,1.602936029434204,0.0919360294342042,1.6581469774246216,0.14714697742462168
70,E:\桌面\data1\70_1.5110.jpg,1.511,0.805496871471405,0.7055031285285949,1.5337063074111938,0.02270630741119395
71,E:\桌面\data1\71_0.0000.jpg,0.0,0.03965000808238983,0.03965000808238983,-0.028202474117279053,0.028202474117279053
72,E:\桌面\data1\72_1.5110.jpg,1.511,1.389824628829956,0.12117537117004384,1.5439523458480835,0.0329523458480836
