folder,relativeFolder,numImages,improved_mobilenet_aux_mae,legacy_original_cnn_mae,plot,json
E:\桌面\kunmingr2\kunmingr2\1\1,kunmingr2/1/1,108,1.1046330212001447,2.1489711030158736,E:\桌面\项目\training_runs\generalization_real_data_20260418_115800\regression_ab_legacy_vs_mobilenet_20260418_1500\kunmingr2\kunmingr2__1__1\regression_ab_compare.png,E:\桌面\项目\training_runs\generalization_real_data_20260418_115800\regression_ab_legacy_vs_mobilenet_20260418_1500\kunmingr2\kunmingr2__1__1\regression_ab_compare.json
E:\桌面\kunmingr2\kunmingr2\1\2,kunmingr2/1/2,107,1.1252787399598372,2.1266865460337883,E:\桌面\项目\training_runs\generalization_real_data_20260418_115800\regression_ab_legacy_vs_mobilenet_20260418_1500\kunmingr2\kunmingr2__1__2\regression_ab_compare.png,E:\桌面\项目\training_runs\generalization_real_data_20260418_115800\regression_ab_legacy_vs_mobilenet_20260418_1500\kunmingr2\kunmingr2__1__2\regression_ab_compare.json
E:\桌面\kunmingr2\kunmingr2\2\1,kunmingr2/2/1,91,0.8734944022831025,2.075771315957425,E:\桌面\项目\training_runs\generalization_real_data_20260418_115800\regression_ab_legacy_vs_mobilenet_20260418_1500\kunmingr2\kunmingr2__2__1\regression_ab_compare.png,E:\桌面\项目\training_runs\generalization_real_data_20260418_115800\regression_ab_legacy_vs_mobilenet_20260418_1500\kunmingr2\kunmingr2__2__1\regression_ab_compare.json
E:\桌面\kunmingr2\kunmingr2\2\2,kunmingr2/2/2,91,0.7878306591878881,2.1025535104578665,E:\桌面\项目\training_runs\generalization_real_data_20260418_115800\regression_ab_legacy_vs_mobilenet_20260418_1500\kunmingr2\kunmingr2__2__2\regression_ab_compare.png,E:\桌面\项目\training_runs\generalization_real_data_20260418_115800\regression_ab_legacy_vs_mobilenet_20260418_1500\kunmingr2\kunmingr2__2__2\regression_ab_compare.json
E:\桌面\kunmingr2\kunmingr2\3\1,kunmingr2/3/1,161,0.44259012516166857,1.431779743302683,E:\桌面\项目\training_runs\generalization_real_data_20260418_115800\regression_ab_legacy_vs_mobilenet_20260418_1500\kunmingr2\kunmingr2__3__1\regression_ab_compare.png,E:\桌面\项目\training_runs\generalization_real_data_20260418_115800\regression_ab_legacy_vs_mobilenet_20260418_1500\kunmingr2\kunmingr2__3__1\regression_ab_compare.json
E:\桌面\kunmingr2\kunmingr2\3\2,kunmingr2/3/2,159,0.5359476116573285,1.5656772469424605,E:\桌面\项目\training_runs\generalization_real_data_20260418_115800\regression_ab_legacy_vs_mobilenet_20260418_1500\kunmingr2\kunmingr2__3__2\regression_ab_compare.png,E:\桌面\项目\training_runs\generalization_real_data_20260418_115800\regression_ab_legacy_vs_mobilenet_20260418_1500\kunmingr2\kunmingr2__3__2\regression_ab_compare.json
E:\桌面\kunmingr2\kunmingr2\4\1,kunmingr2/4/1,83,0.7110080277205949,1.2157784347422151,E:\桌面\项目\training_runs\generalization_real_data_20260418_115800\regression_ab_legacy_vs_mobilenet_20260418_1500\kunmingr2\kunmingr2__4__1\regression_ab_compare.png,E:\桌面\项目\training_runs\generalization_real_data_20260418_115800\regression_ab_legacy_vs_mobilenet_20260418_1500\kunmingr2\kunmingr2__4__1\regression_ab_compare.json
E:\桌面\kunmingr2\kunmingr2\4\2,kunmingr2/4/2,83,0.745513630973,1.1760062520371861,E:\桌面\项目\training_runs\generalization_real_data_20260418_115800\regression_ab_legacy_vs_mobilenet_20260418_1500\kunmingr2\kunmingr2__4__2\regression_ab_compare.png,E:\桌面\项目\training_runs\generalization_real_data_20260418_115800\regression_ab_legacy_vs_mobilenet_20260418_1500\kunmingr2\kunmingr2__4__2\regression_ab_compare.json
E:\桌面\kunmingr2\kunmingr2\5\1,kunmingr2/5/1,97,0.632223815865738,0.917468138187202,E:\桌面\项目\training_runs\generalization_real_data_20260418_115800\regression_ab_legacy_vs_mobilenet_20260418_1500\kunmingr2\kunmingr2__5__1\regression_ab_compare.png,E:\桌面\项目\training_runs\generalization_real_data_20260418_115800\regression_ab_legacy_vs_mobilenet_20260418_1500\kunmingr2\kunmingr2__5__1\regression_ab_compare.json
E:\桌面\kunmingr2\kunmingr2\5\2,kunmingr2/5/2,98,0.6893206433872787,0.9849753119264331,E:\桌面\项目\training_runs\generalization_real_data_20260418_115800\regression_ab_legacy_vs_mobilenet_20260418_1500\kunmingr2\kunmingr2__5__2\regression_ab_compare.png,E:\桌面\项目\training_runs\generalization_real_data_20260418_115800\regression_ab_legacy_vs_mobilenet_20260418_1500\kunmingr2\kunmingr2__5__2\regression_ab_compare.json
