index,image,groundTruth,mobilenet_v2,mobilenet_v2_abs_error
0,E:\桌面\kunmingr2\kunmingr2\4\2\0_0.0000.jpg,0.0,-1.5969842672348022,1.5969842672348022
1,E:\桌面\kunmingr2\kunmingr2\4\2\1_-1.6100.jpg,-1.61,-1.4827921390533447,0.12720786094665537
2,E:\桌面\kunmingr2\kunmingr2\4\2\2_-1.6100.jpg,-1.61,-1.5917253494262695,0.018274650573730566
3,E:\桌面\kunmingr2\kunmingr2\4\2\3_-1.6100.jpg,-1.61,-1.5814486742019653,0.028551325798034766
4,E:\桌面\kunmingr2\kunmingr2\4\2\4_-1.6100.jpg,-1.61,-1.5833503007888794,0.026649699211120703
5,E:\桌面\kunmingr2\kunmingr2\4\2\5_-1.6100.jpg,-1.61,-1.2838274240493774,0.32617257595062266
6,E:\桌面\kunmingr2\kunmingr2\4\2\6_-1.6100.jpg,-1.61,-0.9739994406700134,0.6360005593299867
7,E:\桌面\kunmingr2\kunmingr2\4\2\7_-1.6100.jpg,-1.61,-1.5106931924819946,0.09930680751800547
8,E:\桌面\kunmingr2\kunmingr2\4\2\8_-1.6100.jpg,-1.61,-1.4414688348770142,0.16853116512298594
9,E:\桌面\kunmingr2\kunmingr2\4\2\9_-1.6100.jpg,-1.61,-1.2524198293685913,0.3575801706314088
10,E:\桌面\kunmingr2\kunmingr2\4\2\10_-1.6100.jpg,-1.61,-0.6277679800987244,0.9822320199012757
11,E:\桌面\kunmingr2\kunmingr2\4\2\11_-1.6100.jpg,-1.61,-1.526743769645691,0.08325623035430918
12,E:\桌面\kunmingr2\kunmingr2\4\2\12_-1.6100.jpg,-1.61,-1.539239764213562,0.07076023578643809
13,E:\桌面\kunmingr2\kunmingr2\4\2\13_-1.6100.jpg,-1.61,-0.6311156153678894,0.9788843846321107
14,E:\桌面\kunmingr2\kunmingr2\4\2\14_-1.6100.jpg,-1.61,-1.0494846105575562,0.560515389442444
15,E:\桌面\kunmingr2\kunmingr2\4\2\15_-1.6100.jpg,-1.61,-1.546589732170105,0.06341026782989512
16,E:\桌面\kunmingr2\kunmingr2\4\2\16_-1.6100.jpg,-1.61,-1.2196584939956665,0.3903415060043336
17,E:\桌面\kunmingr2\kunmingr2\4\2\17_-1.6100.jpg,-1.61,-1.5110243558883667,0.0989756441116334
18,E:\桌面\kunmingr2\kunmingr2\4\2\18_-1.6100.jpg,-1.61,-0.47319185733795166,1.1368081426620484
19,E:\桌面\kunmingr2\kunmingr2\4\2\19_-1.6100.jpg,-1.61,0.39172810316085815,2.0017281031608585
20,E:\桌面\kunmingr2\kunmingr2\4\2\20_1.7000.jpg,1.7,1.3813987970352173,0.31860120296478267
21,E:\桌面\kunmingr2\kunmingr2\4\2\21_1.7000.jpg,1.7,1.4755302667617798,0.22446973323822017
22,E:\桌面\kunmingr2\kunmingr2\4\2\22_1.7000.jpg,1.7,1.2776873111724854,0.4223126888275146
23,E:\桌面\kunmingr2\kunmingr2\4\2\23_1.7000.jpg,1.7,1.4994460344314575,0.20055396556854244
24,E:\桌面\kunmingr2\kunmingr2\4\2\24_1.7000.jpg,1.7,1.519452452659607,0.18054754734039302
25,E:\桌面\kunmingr2\kunmingr2\4\2\25_1.7000.jpg,1.7,1.4951881170272827,0.20481188297271724
26,E:\桌面\kunmingr2\kunmingr2\4\2\26_1.7000.jpg,1.7,1.4264720678329468,0.2735279321670532
27,E:\桌面\kunmingr2\kunmingr2\4\2\27_1.7000.jpg,1.7,1.5536736249923706,0.14632637500762935
28,E:\桌面\kunmingr2\kunmingr2\4\2\28_1.7000.jpg,1.7,1.5838959217071533,0.11610407829284664
29,E:\桌面\kunmingr2\kunmingr2\4\2\29_1.7000.jpg,1.7,1.594245195388794,0.10575480461120601
30,E:\桌面\kunmingr2\kunmingr2\4\2\30_1.7000.jpg,1.7,1.5919448137283325,0.10805518627166744
31,E:\桌面\kunmingr2\kunmingr2\4\2\31_1.7000.jpg,1.7,1.4882620573043823,0.21173794269561763
32,E:\桌面\kunmingr2\kunmingr2\4\2\32_1.7000.jpg,1.7,1.5360053777694702,0.16399462223052974
33,E:\桌面\kunmingr2\kunmingr2\4\2\33_1.7000.jpg,1.7,1.6012364625930786,0.09876353740692134
34,E:\桌面\kunmingr2\kunmingr2\4\2\34_1.7000.jpg,1.7,1.1162952184677124,0.5837047815322876
35,E:\桌面\kunmingr2\kunmingr2\4\2\35_1.7000.jpg,1.7,1.570214867591858,0.12978513240814205
36,E:\桌面\kunmingr2\kunmingr2\4\2\36_1.7000.jpg,1.7,1.29666268825531,0.4033373117446899
37,E:\桌面\kunmingr2\kunmingr2\4\2\37_1.7000.jpg,1.7,1.5054957866668701,0.19450421333312984
38,E:\桌面\kunmingr2\kunmingr2\4\2\38_1.7000.jpg,1.7,-1.275951623916626,2.975951623916626
39,E:\桌面\kunmingr2\kunmingr2\4\2\39_0.0000.jpg,0.0,-0.4570290148258209,0.4570290148258209
40,E:\桌面\kunmingr2\kunmingr2\4\2\40_0.0000.jpg,0.0,-1.4591141939163208,1.4591141939163208
41,E:\桌面\kunmingr2\kunmingr2\4\2\41_0.0000.jpg,0.0,-1.5134087800979614,1.5134087800979614
42,E:\桌面\kunmingr2\kunmingr2\4\2\42_0.0000.jpg,0.0,-1.5132688283920288,1.5132688283920288
43,E:\桌面\kunmingr2\kunmingr2\4\2\43_0.0000.jpg,0.0,-1.5090047121047974,1.5090047121047974
44,E:\桌面\kunmingr2\kunmingr2\4\2\44_0.0000.jpg,0.0,0.2963787913322449,0.2963787913322449
45,E:\桌面\kunmingr2\kunmingr2\4\2\45_0.0000.jpg,0.0,0.3004545569419861,0.3004545569419861
46,E:\桌面\kunmingr2\kunmingr2\4\2\46_0.0000.jpg,0.0,0.3255627751350403,0.3255627751350403
47,E:\桌面\kunmingr2\kunmingr2\4\2\47_0.0000.jpg,0.0,0.2788066864013672,0.2788066864013672
48,E:\桌面\kunmingr2\kunmingr2\4\2\48_1.5573.jpg,1.5573,0.104557566344738,1.452742433655262
49,E:\桌面\kunmingr2\kunmingr2\4\2\49_1.5573.jpg,1.5573,0.5513017773628235,1.0059982226371764
