folder,relativeFolder,numImages,mobilenet_v2_mae,plot,json
E:\桌面\kunmingr2\kunmingr2\1\1,kunmingr2/1/1,108,0.8080650370595632,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_20260418_1815\single_model_analysis_20260418_01\kunmingr2\kunmingr2__1__1\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_20260418_1815\single_model_analysis_20260418_01\kunmingr2\kunmingr2__1__1\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\1\2,kunmingr2/1/2,107,0.7813666369104496,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_20260418_1815\single_model_analysis_20260418_01\kunmingr2\kunmingr2__1__2\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_20260418_1815\single_model_analysis_20260418_01\kunmingr2\kunmingr2__1__2\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\2\1,kunmingr2/2/1,91,0.561226347195185,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_20260418_1815\single_model_analysis_20260418_01\kunmingr2\kunmingr2__2__1\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_20260418_1815\single_model_analysis_20260418_01\kunmingr2\kunmingr2__2__1\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\2\2,kunmingr2/2/2,91,0.39883728827598325,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_20260418_1815\single_model_analysis_20260418_01\kunmingr2\kunmingr2__2__2\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_20260418_1815\single_model_analysis_20260418_01\kunmingr2\kunmingr2__2__2\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\3\1,kunmingr2/3/1,161,0.39228230385729884,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_20260418_1815\single_model_analysis_20260418_01\kunmingr2\kunmingr2__3__1\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_20260418_1815\single_model_analysis_20260418_01\kunmingr2\kunmingr2__3__1\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\3\2,kunmingr2/3/2,159,0.5755063761452084,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_20260418_1815\single_model_analysis_20260418_01\kunmingr2\kunmingr2__3__2\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_20260418_1815\single_model_analysis_20260418_01\kunmingr2\kunmingr2__3__2\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\4\1,kunmingr2/4/1,83,0.7029180003688995,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_20260418_1815\single_model_analysis_20260418_01\kunmingr2\kunmingr2__4__1\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_20260418_1815\single_model_analysis_20260418_01\kunmingr2\kunmingr2__4__1\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\4\2,kunmingr2/4/2,83,0.6361555850402418,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_20260418_1815\single_model_analysis_20260418_01\kunmingr2\kunmingr2__4__2\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_20260418_1815\single_model_analysis_20260418_01\kunmingr2\kunmingr2__4__2\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\5\1,kunmingr2/5/1,97,0.3460564264281432,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_20260418_1815\single_model_analysis_20260418_01\kunmingr2\kunmingr2__5__1\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_20260418_1815\single_model_analysis_20260418_01\kunmingr2\kunmingr2__5__1\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\5\2,kunmingr2/5/2,98,0.5071111631904329,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_20260418_1815\single_model_analysis_20260418_01\kunmingr2\kunmingr2__5__2\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_20260418_1815\single_model_analysis_20260418_01\kunmingr2\kunmingr2__5__2\regression_compare.json
