index,image,groundTruth,mobilenet_v2_shift1,mobilenet_v2_shift1_abs_error
0,E:\桌面\kunmingr2\kunmingr2\3\2\0_0.0000.jpg,0.0,-0.4912129044532776,0.4912129044532776
1,E:\桌面\kunmingr2\kunmingr2\3\2\1_-1.5610.jpg,-1.561,-0.03261718899011612,1.5283828110098838
2,E:\桌面\kunmingr2\kunmingr2\3\2\2_-1.5610.jpg,-1.561,-0.24971696734428406,1.3112830326557159
3,E:\桌面\kunmingr2\kunmingr2\3\2\3_-1.5610.jpg,-1.561,-1.4962579011917114,0.06474209880828852
4,E:\桌面\kunmingr2\kunmingr2\3\2\4_-1.5610.jpg,-1.561,-1.6153026819229126,0.054302681922912654
5,E:\桌面\kunmingr2\kunmingr2\3\2\5_-1.5610.jpg,-1.561,-0.6752554774284363,0.8857445225715637
6,E:\桌面\kunmingr2\kunmingr2\3\2\6_-1.5610.jpg,-1.561,-1.668540596961975,0.10754059696197515
7,E:\桌面\kunmingr2\kunmingr2\3\2\7_-1.5610.jpg,-1.561,-1.115505337715149,0.445494662284851
8,E:\桌面\kunmingr2\kunmingr2\3\2\8_-1.5610.jpg,-1.561,-1.242014765739441,0.318985234260559
9,E:\桌面\kunmingr2\kunmingr2\3\2\9_-1.5610.jpg,-1.561,-1.3314690589904785,0.22953094100952143
10,E:\桌面\kunmingr2\kunmingr2\3\2\10_-1.5610.jpg,-1.561,-1.4858990907669067,0.0751009092330932
11,E:\桌面\kunmingr2\kunmingr2\3\2\11_-1.5610.jpg,-1.561,-0.751607358455658,0.809392641544342
12,E:\桌面\kunmingr2\kunmingr2\3\2\12_-1.5610.jpg,-1.561,-0.016472473740577698,1.5445275262594222
13,E:\桌面\kunmingr2\kunmingr2\3\2\13_-1.5610.jpg,-1.561,-0.6190205216407776,0.9419794783592224
14,E:\桌面\kunmingr2\kunmingr2\3\2\14_-1.5610.jpg,-1.561,-0.00020132958889007568,1.5607986704111099
15,E:\桌面\kunmingr2\kunmingr2\3\2\15_-1.5610.jpg,-1.561,-0.9484519362449646,0.6125480637550353
16,E:\桌面\kunmingr2\kunmingr2\3\2\16_-1.5610.jpg,-1.561,-0.17868047952651978,1.3823195204734802
17,E:\桌面\kunmingr2\kunmingr2\3\2\17_-1.5610.jpg,-1.561,-0.2465069591999054,1.3144930408000945
18,E:\桌面\kunmingr2\kunmingr2\3\2\18_-1.5610.jpg,-1.561,-1.320927619934082,0.2400723800659179
19,E:\桌面\kunmingr2\kunmingr2\3\2\19_-1.5610.jpg,-1.561,-1.3371785879135132,0.22382141208648676
20,E:\桌面\kunmingr2\kunmingr2\3\2\20_-1.5610.jpg,-1.561,-1.316263198852539,0.24473680114746088
21,E:\桌面\kunmingr2\kunmingr2\3\2\21_-1.5610.jpg,-1.561,-1.0140312910079956,0.5469687089920043
22,E:\桌面\kunmingr2\kunmingr2\3\2\22_-1.5610.jpg,-1.561,-1.3042081594467163,0.25679184055328363
