folder,relativeFolder,numImages,mobilenet_v2_shift1_mae,plot,json
E:\桌面\kunmingr2\kunmingr2\1\1,kunmingr2/1/1,108,1.0830242279641054,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_shift1_20260418_2255\single_model_analysis_20260418_01\kunmingr2\kunmingr2__1__1\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_shift1_20260418_2255\single_model_analysis_20260418_01\kunmingr2\kunmingr2__1__1\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\1\2,kunmingr2/1/2,107,1.0179662074691782,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_shift1_20260418_2255\single_model_analysis_20260418_01\kunmingr2\kunmingr2__1__2\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_shift1_20260418_2255\single_model_analysis_20260418_01\kunmingr2\kunmingr2__1__2\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\2\1,kunmingr2/2/1,91,0.7472534148640685,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_shift1_20260418_2255\single_model_analysis_20260418_01\kunmingr2\kunmingr2__2__1\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_shift1_20260418_2255\single_model_analysis_20260418_01\kunmingr2\kunmingr2__2__1\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\2\2,kunmingr2/2/2,91,0.7505724749460325,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_shift1_20260418_2255\single_model_analysis_20260418_01\kunmingr2\kunmingr2__2__2\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_shift1_20260418_2255\single_model_analysis_20260418_01\kunmingr2\kunmingr2__2__2\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\3\1,kunmingr2/3/1,161,0.5771619981953076,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_shift1_20260418_2255\single_model_analysis_20260418_01\kunmingr2\kunmingr2__3__1\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_shift1_20260418_2255\single_model_analysis_20260418_01\kunmingr2\kunmingr2__3__1\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\3\2,kunmingr2/3/2,159,0.5975899325669187,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_shift1_20260418_2255\single_model_analysis_20260418_01\kunmingr2\kunmingr2__3__2\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_shift1_20260418_2255\single_model_analysis_20260418_01\kunmingr2\kunmingr2__3__2\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\4\1,kunmingr2/4/1,83,1.252607437148439,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_shift1_20260418_2255\single_model_analysis_20260418_01\kunmingr2\kunmingr2__4__1\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_shift1_20260418_2255\single_model_analysis_20260418_01\kunmingr2\kunmingr2__4__1\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\4\2,kunmingr2/4/2,83,1.2166488539407052,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_shift1_20260418_2255\single_model_analysis_20260418_01\kunmingr2\kunmingr2__4__2\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_shift1_20260418_2255\single_model_analysis_20260418_01\kunmingr2\kunmingr2__4__2\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\5\1,kunmingr2/5/1,97,0.6371859372338069,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_shift1_20260418_2255\single_model_analysis_20260418_01\kunmingr2\kunmingr2__5__1\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_shift1_20260418_2255\single_model_analysis_20260418_01\kunmingr2\kunmingr2__5__1\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\5\2,kunmingr2/5/2,98,0.6410542260365827,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_shift1_20260418_2255\single_model_analysis_20260418_01\kunmingr2\kunmingr2__5__2\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_proxy_existing_source_shift1_20260418_2255\single_model_analysis_20260418_01\kunmingr2\kunmingr2__5__2\regression_compare.json
