index,image,groundTruth,legacy,legacy_abs_error,mobilenet_v2_single,mobilenet_v2_single_abs_error,mobilenet_v2_temporal3,mobilenet_v2_temporal3_abs_error
0,E:\桌面\data1\0_0.0000.jpg,0.0,0.7124346494674683,0.7124346494674683,-0.012616246938705444,0.012616246938705444,0.07124153524637222,0.07124153524637222
1,E:\桌面\data1\1_0.0000.jpg,0.0,-0.05353006720542908,0.05353006720542908,-0.014275670051574707,0.014275670051574707,-0.04443841427564621,0.04443841427564621
2,E:\桌面\data1\2_0.0000.jpg,0.0,0.03603902459144592,0.03603902459144592,0.004230640362948179,0.004230640362948179,-0.016749300062656403,0.016749300062656403
3,E:\桌面\data1\3_0.0000.jpg,0.0,-0.002312183380126953,0.002312183380126953,-0.016796626150608063,0.016796626150608063,-0.026859335601329803,0.026859335601329803
4,E:\桌面\data1\4_0.0000.jpg,0.0,-0.007983535528182983,0.007983535528182983,0.3809153139591217,0.3809153139591217,-0.19296732544898987,0.19296732544898987
5,E:\桌面\data1\5_0.0000.jpg,0.0,0.018858879804611206,0.018858879804611206,0.040198735892772675,0.040198735892772675,0.0636499896645546,0.0636499896645546
6,E:\桌面\data1\6_0.0000.jpg,0.0,-0.11265560984611511,0.11265560984611511,-0.006836750078946352,0.006836750078946352,0.0369783416390419,0.0369783416390419
7,E:\桌面\data1\7_0.0000.jpg,0.0,0.12332624197006226,0.12332624197006226,-0.08576139807701111,0.08576139807701111,-0.06287246197462082,0.06287246197462082
8,E:\桌面\data1\8_0.0000.jpg,0.0,-0.10035958886146545,0.10035958886146545,-0.01254735141992569,0.01254735141992569,0.0019549354910850525,0.0019549354910850525
9,E:\桌面\data1\9_0.0000.jpg,0.0,0.024731293320655823,0.024731293320655823,0.018560774624347687,0.018560774624347687,-0.03548019379377365,0.03548019379377365
10,E:\桌面\data1\10_0.0000.jpg,0.0,-0.15216907858848572,0.15216907858848572,-0.04850643128156662,0.04850643128156662,-0.027614131569862366,0.027614131569862366
11,E:\桌面\data1\11_0.0000.jpg,0.0,0.09648308157920837,0.09648308157920837,0.0205976739525795,0.0205976739525795,-0.049773845821619034,0.049773845821619034
12,E:\桌面\data1\12_0.0000.jpg,0.0,0.14469462633132935,0.14469462633132935,-0.02236977219581604,0.02236977219581604,0.009070008993148804,0.009070008993148804
13,E:\桌面\data1\13_0.0000.jpg,0.0,0.13457641005516052,0.13457641005516052,0.002723097335547209,0.002723097335547209,0.0029381364583969116,0.0029381364583969116
14,E:\桌面\data1\14_0.0000.jpg,0.0,0.3241558372974396,0.3241558372974396,-0.03504040092229843,0.03504040092229843,-0.012666277587413788,0.012666277587413788
15,E:\桌面\data1\15_0.0000.jpg,0.0,-0.2460896074771881,0.2460896074771881,0.05858152359724045,0.05858152359724045,-0.0077822208404541016,0.0077822208404541016
16,E:\桌面\data1\16_0.0000.jpg,0.0,0.11944347620010376,0.11944347620010376,-0.04736768454313278,0.04736768454313278,0.052723564207553864,0.052723564207553864
17,E:\桌面\data1\17_0.0000.jpg,0.0,0.32463547587394714,0.32463547587394714,-0.050009675323963165,0.050009675323963165,0.029659949243068695,0.029659949243068695
18,E:\桌面\data1\18_0.0000.jpg,0.0,0.32734984159469604,0.32734984159469604,-0.1519974172115326,0.1519974172115326,0.018449164927005768,0.018449164927005768
19,E:\桌面\data1\19_0.0000.jpg,0.0,0.3926439583301544,0.3926439583301544,-0.011042021214962006,0.011042021214962006,0.04332131892442703,0.04332131892442703
20,E:\桌面\data1\20_0.0000.jpg,0.0,0.7812793254852295,0.7812793254852295,-0.19723810255527496,0.19723810255527496,0.020927853882312775,0.020927853882312775
21,E:\桌面\data1\21_0.0000.jpg,0.0,0.02075713872909546,0.02075713872909546,-0.10468394309282303,0.10468394309282303,-0.009039856493473053,0.009039856493473053
22,E:\桌面\data1\22_0.0000.jpg,0.0,-0.07378822565078735,0.07378822565078735,-0.05328736454248428,0.05328736454248428,-0.0018625706434249878,0.0018625706434249878
23,E:\桌面\data1\23_0.0000.jpg,0.0,-0.04072326421737671,0.04072326421737671,0.5122777223587036,0.5122777223587036,-0.06884275376796722,0.06884275376796722
24,E:\桌面\data1\24_0.0000.jpg,0.0,0.3820666968822479,0.3820666968822479,-0.02945391833782196,0.02945391833782196,0.011296622455120087,0.011296622455120087
25,E:\桌面\data1\25_0.0000.jpg,0.0,0.5705630779266357,0.5705630779266357,0.17016445100307465,0.17016445100307465,0.0441741868853569,0.0441741868853569
26,E:\桌面\data1\26_0.0000.jpg,0.0,0.7552591562271118,0.7552591562271118,0.07102786749601364,0.07102786749601364,0.02819531410932541,0.02819531410932541
27,E:\桌面\data1\27_0.0000.jpg,0.0,0.02874375879764557,0.02874375879764557,0.09960499405860901,0.09960499405860901,0.0662468746304512,0.0662468746304512
28,E:\桌面\data1\28_0.0000.jpg,0.0,1.1756675243377686,1.1756675243377686,0.06077449768781662,0.06077449768781662,1.0980298519134521,1.0980298519134521
29,E:\桌面\data1\29_1.5110.jpg,1.511,1.192708969116211,0.31829103088378896,1.4644701480865479,0.04652985191345205,1.510261058807373,0.0007389411926268519
30,E:\桌面\data1\30_1.5110.jpg,1.511,1.4327752590179443,0.07822474098205556,1.5057400465011597,0.005259953498840231,1.4956626892089844,0.015337310791015524
31,E:\桌面\data1\31_1.5110.jpg,1.511,1.4094496965408325,0.10155030345916738,1.4687820672988892,0.04221793270111074,1.5286898612976074,0.017689861297607523
32,E:\桌面\data1\32_1.5110.jpg,1.511,1.5424883365631104,0.03148833656311045,1.5320501327514648,0.021050132751464945,1.491621732711792,0.019378267288207907
33,E:\桌面\data1\33_1.5110.jpg,1.511,1.4686603546142578,0.042339645385742086,1.4864864349365234,0.02451356506347646,1.5501692295074463,0.03916922950744639
34,E:\桌面\data1\34_1.5110.jpg,1.511,1.369600772857666,0.14139922714233388,1.4942530393600464,0.016746960639953512,1.4981470108032227,0.012852989196777242
35,E:\桌面\data1\35_1.5110.jpg,1.511,-0.2037639319896698,1.7147639319896697,1.3686267137527466,0.14237328624725332,1.591378927230835,0.08037892723083506
36,E:\桌面\data1\36_1.5110.jpg,1.511,1.5068281888961792,0.0041718111038206995,1.48117196559906,0.02982803440093984,1.5036320686340332,0.007367931365966696
37,E:\桌面\data1\37_1.5110.jpg,1.511,1.5273864269256592,0.01638642692565928,1.5163308382034302,0.005330838203430277,1.5046100616455078,0.006389938354492086
38,E:\桌面\data1\38_0.0000.jpg,0.0,0.3488002419471741,0.3488002419471741,-0.013525821268558502,0.013525821268558502,0.04031411558389664,0.04031411558389664
39,E:\桌面\data1\39_1.5110.jpg,1.511,1.2600681781768799,0.25093182182312,1.5251563787460327,0.014156378746032816,1.5024056434631348,0.008594356536865133
40,E:\桌面\data1\40_1.5110.jpg,1.511,1.538759708404541,0.027759708404541117,1.5203338861465454,0.009333886146545511,1.5198488235473633,0.008848823547363383
41,E:\桌面\data1\41_1.5110.jpg,1.511,1.56400728225708,0.05300728225708018,1.5261973142623901,0.015197314262390238,1.506430745124817,0.004569254875183004
42,E:\桌面\data1\42_1.5110.jpg,1.511,1.2643312215805054,0.24666877841949453,1.5045604705810547,0.006439529418945211,1.4991559982299805,0.01184400177001943
