index,image,groundTruth,legacy,legacy_abs_error,mobilenet_v2_single,mobilenet_v2_single_abs_error,mobilenet_v2_temporal3,mobilenet_v2_temporal3_abs_error
0,E:\桌面\kunmingr2\kunmingr2\2\1\0_0.0000.jpg,0.0,1.276690125465393,1.276690125465393,-1.598104476928711,1.598104476928711,-1.1327106952667236,1.1327106952667236
1,E:\桌面\kunmingr2\kunmingr2\2\1\1_0.0000.jpg,0.0,1.2636682987213135,1.2636682987213135,-1.5334404706954956,1.5334404706954956,-1.3528156280517578,1.3528156280517578
2,E:\桌面\kunmingr2\kunmingr2\2\1\2_0.0000.jpg,0.0,1.1928666830062866,1.1928666830062866,-1.2688230276107788,1.2688230276107788,-1.002563714981079,1.002563714981079
3,E:\桌面\kunmingr2\kunmingr2\2\1\3_0.0000.jpg,0.0,1.1057556867599487,1.1057556867599487,-1.2478779554367065,1.2478779554367065,-1.0496599674224854,1.0496599674224854
4,E:\桌面\kunmingr2\kunmingr2\2\1\4_0.0000.jpg,0.0,1.093246579170227,1.093246579170227,-1.388804316520691,1.388804316520691,-0.7163155674934387,0.7163155674934387
5,E:\桌面\kunmingr2\kunmingr2\2\1\5_0.0000.jpg,0.0,1.0402705669403076,1.0402705669403076,-1.5787607431411743,1.5787607431411743,-0.3013822138309479,0.3013822138309479
6,E:\桌面\kunmingr2\kunmingr2\2\1\6_0.0000.jpg,0.0,0.9558258056640625,0.9558258056640625,-1.283881425857544,1.283881425857544,0.08515486866235733,0.08515486866235733
7,E:\桌面\kunmingr2\kunmingr2\2\1\7_0.0000.jpg,0.0,0.7829060554504395,0.7829060554504395,-1.5559805631637573,1.5559805631637573,0.2324318289756775,0.2324318289756775
8,E:\桌面\kunmingr2\kunmingr2\2\1\8_0.0000.jpg,0.0,0.6059107780456543,0.6059107780456543,-1.1210790872573853,1.1210790872573853,0.11152239888906479,0.11152239888906479
9,E:\桌面\kunmingr2\kunmingr2\2\1\9_0.0000.jpg,0.0,0.3055160939693451,0.3055160939693451,1.2201673984527588,1.2201673984527588,0.1567634642124176,0.1567634642124176
10,E:\桌面\kunmingr2\kunmingr2\2\1\10_0.0000.jpg,0.0,0.2051272839307785,0.2051272839307785,1.142753005027771,1.142753005027771,0.525852382183075,0.525852382183075
11,E:\桌面\kunmingr2\kunmingr2\2\1\11_0.0000.jpg,0.0,-0.2317890226840973,0.2317890226840973,0.7134670615196228,0.7134670615196228,1.3492830991744995,1.3492830991744995
12,E:\桌面\kunmingr2\kunmingr2\2\1\12_0.0000.jpg,0.0,-0.5651557445526123,0.5651557445526123,0.4390134811401367,0.4390134811401367,1.336076021194458,1.336076021194458
13,E:\桌面\kunmingr2\kunmingr2\2\1\13_1.3997.jpg,1.3997,-1.0533186197280884,2.4530186197280885,1.3611085414886475,0.03859145851135248,0.7038381099700928,0.6958618900299072
14,E:\桌面\kunmingr2\kunmingr2\2\1\14_1.3997.jpg,1.3997,-1.0531648397445679,2.452864839744568,1.15981924533844,0.23988075466156,1.5067477226257324,0.10704772262573248
15,E:\桌面\kunmingr2\kunmingr2\2\1\15_1.3997.jpg,1.3997,-1.2045303583145142,2.6042303583145143,1.3519002199172974,0.04779978008270258,1.513671875,0.11397187500000006
16,E:\桌面\kunmingr2\kunmingr2\2\1\16_1.3997.jpg,1.3997,-1.1993974447250366,2.599097444725037,0.8432624936103821,0.5564375063896179,1.4817249774932861,0.08202497749328619
17,E:\桌面\kunmingr2\kunmingr2\2\1\17_1.3997.jpg,1.3997,-1.134819507598877,2.534519507598877,1.172197699546814,0.22750230045318598,1.4871915578842163,0.08749155788421636
18,E:\桌面\kunmingr2\kunmingr2\2\1\18_1.3997.jpg,1.3997,-1.2280186414718628,2.627718641471863,1.2587581872940063,0.1409418127059936,1.4858835935592651,0.08618359355926519
19,E:\桌面\kunmingr2\kunmingr2\2\1\19_1.3997.jpg,1.3997,-1.3246253728866577,2.724325372886658,1.4868632555007935,0.08716325550079351,1.511216163635254,0.11151616363525396
20,E:\桌面\kunmingr2\kunmingr2\2\1\20_1.3997.jpg,1.3997,-1.3886915445327759,2.788391544532776,1.495768427848816,0.09606842784881597,1.4899015426635742,0.09020154266357427
21,E:\桌面\kunmingr2\kunmingr2\2\1\21_1.3997.jpg,1.3997,-1.4187134504318237,2.818413450431824,1.495634913444519,0.0959349134445191,1.4833767414093018,0.08367674140930181
22,E:\桌面\kunmingr2\kunmingr2\2\1\22_1.3997.jpg,1.3997,-1.4262869358062744,2.8259869358062746,1.4801620244979858,0.0804620244979859,1.4876139163970947,0.08791391639709478
23,E:\桌面\kunmingr2\kunmingr2\2\1\23_1.3997.jpg,1.3997,-1.3954600095748901,2.7951600095748903,1.498317837715149,0.09861783771514898,1.4706701040267944,0.07097010402679449
24,E:\桌面\kunmingr2\kunmingr2\2\1\24_1.3997.jpg,1.3997,-1.3659758567810059,2.765675856781006,1.0211442708969116,0.3785557291030883,1.4881305694580078,0.08843056945800787
25,E:\桌面\kunmingr2\kunmingr2\2\1\25_1.3997.jpg,1.3997,-1.3025730848312378,2.702273084831238,1.5178271532058716,0.11812715320587164,1.4881212711334229,0.08842127113342291
26,E:\桌面\kunmingr2\kunmingr2\2\1\26_1.3997.jpg,1.3997,-1.2391459941864014,2.6388459941864015,1.5025585889816284,0.10285858898162847,1.5025807619094849,0.10288076190948492
27,E:\桌面\kunmingr2\kunmingr2\2\1\27_1.3997.jpg,1.3997,-1.0893632173538208,2.489063217353821,1.4384971857070923,0.03879718570709234,1.4824340343475342,0.08273403434753424
28,E:\桌面\kunmingr2\kunmingr2\2\1\28_1.3997.jpg,1.3997,-1.0229068994522095,2.4226068994522096,1.4726862907409668,0.07298629074096685,1.4877784252166748,0.08807842521667486
29,E:\桌面\kunmingr2\kunmingr2\2\1\29_1.3997.jpg,1.3997,-1.042913556098938,2.442613556098938,1.4826873540878296,0.08298735408782965,1.471900224685669,0.072200224685669
30,E:\桌面\kunmingr2\kunmingr2\2\1\30_1.3997.jpg,1.3997,-1.0555381774902344,2.4552381774902345,1.5013896226882935,0.10168962268829351,1.4888906478881836,0.08919064788818365
31,E:\桌面\kunmingr2\kunmingr2\2\1\31_1.3997.jpg,1.3997,-1.1961551904678345,2.5958551904678346,1.4808136224746704,0.08111362247467047,1.4947013854980469,0.09500138549804693
32,E:\桌面\kunmingr2\kunmingr2\2\1\32_1.3997.jpg,1.3997,-1.1613359451293945,2.5610359451293947,1.500402569770813,0.10070256977081304,1.5177075862884521,0.1180075862884522
33,E:\桌面\kunmingr2\kunmingr2\2\1\33_1.3997.jpg,1.3997,-1.1611665487289429,2.560866548728943,1.513780951499939,0.11408095149993902,1.5273220539093018,0.1276220539093018
34,E:\桌面\kunmingr2\kunmingr2\2\1\34_1.3997.jpg,1.3997,-1.111514925956726,2.5112149259567262,1.5126734972000122,0.11297349720001226,1.4886795282363892,0.08897952823638922
35,E:\桌面\kunmingr2\kunmingr2\2\1\35_1.3997.jpg,1.3997,-1.103523850440979,2.503223850440979,1.4885257482528687,0.08882574825286871,1.5210294723510742,0.12132947235107427
36,E:\桌面\kunmingr2\kunmingr2\2\1\36_1.3997.jpg,1.3997,-1.0802634954452515,2.4799634954452516,1.50713312625885,0.10743312625885015,1.5120062828063965,0.11230628280639654
37,E:\桌面\kunmingr2\kunmingr2\2\1\37_1.3997.jpg,1.3997,-1.1213022470474243,2.5210022470474245,1.4862390756607056,0.08653907566070562,1.5034120082855225,0.10371200828552252
38,E:\桌面\kunmingr2\kunmingr2\2\1\38_1.3997.jpg,1.3997,-1.161245584487915,2.560945584487915,1.4880139827728271,0.0883139827728272,1.5191984176635742,0.11949841766357427
39,E:\桌面\kunmingr2\kunmingr2\2\1\39_1.3997.jpg,1.3997,-1.2333155870437622,2.6330155870437624,1.4872105121612549,0.08751051216125494,1.5148463249206543,0.11514632492065435
