folder,relativeFolder,numImages,legacy_mae,mobilenet_v2_single_mae,mobilenet_v2_temporal3_mae,plot,json
E:\桌面\kunmingr2\kunmingr2\1\1,kunmingr2/1/1,108,2.1489711030158736,0.8080650370595632,0.7559664767111343,E:\桌面\项目\training_runs\mobilenet_v2_temporal3_adapter_proxy_existing_source_20260419_002245\compare_temporal3_vs_baselines_20260419_01\kunmingr2\kunmingr2__1__1\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_temporal3_adapter_proxy_existing_source_20260419_002245\compare_temporal3_vs_baselines_20260419_01\kunmingr2\kunmingr2__1__1\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\1\2,kunmingr2/1/2,107,2.1266865460337883,0.7813666369104496,0.7409189451994184,E:\桌面\项目\training_runs\mobilenet_v2_temporal3_adapter_proxy_existing_source_20260419_002245\compare_temporal3_vs_baselines_20260419_01\kunmingr2\kunmingr2__1__2\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_temporal3_adapter_proxy_existing_source_20260419_002245\compare_temporal3_vs_baselines_20260419_01\kunmingr2\kunmingr2__1__2\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\2\1,kunmingr2/2/1,91,2.075771315957425,0.561226347195185,0.5214748488982955,E:\桌面\项目\training_runs\mobilenet_v2_temporal3_adapter_proxy_existing_source_20260419_002245\compare_temporal3_vs_baselines_20260419_01\kunmingr2\kunmingr2__2__1\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_temporal3_adapter_proxy_existing_source_20260419_002245\compare_temporal3_vs_baselines_20260419_01\kunmingr2\kunmingr2__2__1\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\2\2,kunmingr2/2/2,91,2.1025535104578665,0.39883728827598325,0.40645939643887374,E:\桌面\项目\training_runs\mobilenet_v2_temporal3_adapter_proxy_existing_source_20260419_002245\compare_temporal3_vs_baselines_20260419_01\kunmingr2\kunmingr2__2__2\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_temporal3_adapter_proxy_existing_source_20260419_002245\compare_temporal3_vs_baselines_20260419_01\kunmingr2\kunmingr2__2__2\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\3\1,kunmingr2/3/1,161,1.431779743302683,0.39228230385729884,0.34712848894566484,E:\桌面\项目\training_runs\mobilenet_v2_temporal3_adapter_proxy_existing_source_20260419_002245\compare_temporal3_vs_baselines_20260419_01\kunmingr2\kunmingr2__3__1\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_temporal3_adapter_proxy_existing_source_20260419_002245\compare_temporal3_vs_baselines_20260419_01\kunmingr2\kunmingr2__3__1\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\3\2,kunmingr2/3/2,159,1.5656772469424605,0.5755063761452084,0.4160467915122613,E:\桌面\项目\training_runs\mobilenet_v2_temporal3_adapter_proxy_existing_source_20260419_002245\compare_temporal3_vs_baselines_20260419_01\kunmingr2\kunmingr2__3__2\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_temporal3_adapter_proxy_existing_source_20260419_002245\compare_temporal3_vs_baselines_20260419_01\kunmingr2\kunmingr2__3__2\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\4\1,kunmingr2/4/1,83,1.2157784347422151,0.7029180003688995,0.5688798838770532,E:\桌面\项目\training_runs\mobilenet_v2_temporal3_adapter_proxy_existing_source_20260419_002245\compare_temporal3_vs_baselines_20260419_01\kunmingr2\kunmingr2__4__1\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_temporal3_adapter_proxy_existing_source_20260419_002245\compare_temporal3_vs_baselines_20260419_01\kunmingr2\kunmingr2__4__1\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\4\2,kunmingr2/4/2,83,1.1760062520371861,0.6361555850402418,0.5930619677941482,E:\桌面\项目\training_runs\mobilenet_v2_temporal3_adapter_proxy_existing_source_20260419_002245\compare_temporal3_vs_baselines_20260419_01\kunmingr2\kunmingr2__4__2\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_temporal3_adapter_proxy_existing_source_20260419_002245\compare_temporal3_vs_baselines_20260419_01\kunmingr2\kunmingr2__4__2\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\5\1,kunmingr2/5/1,97,0.917468138187202,0.3460564264281432,0.6067525340380128,E:\桌面\项目\training_runs\mobilenet_v2_temporal3_adapter_proxy_existing_source_20260419_002245\compare_temporal3_vs_baselines_20260419_01\kunmingr2\kunmingr2__5__1\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_temporal3_adapter_proxy_existing_source_20260419_002245\compare_temporal3_vs_baselines_20260419_01\kunmingr2\kunmingr2__5__1\regression_compare.json
E:\桌面\kunmingr2\kunmingr2\5\2,kunmingr2/5/2,98,0.9849753119264331,0.5071111631904329,0.5785468002837532,E:\桌面\项目\training_runs\mobilenet_v2_temporal3_adapter_proxy_existing_source_20260419_002245\compare_temporal3_vs_baselines_20260419_01\kunmingr2\kunmingr2__5__2\regression_compare.png,E:\桌面\项目\training_runs\mobilenet_v2_temporal3_adapter_proxy_existing_source_20260419_002245\compare_temporal3_vs_baselines_20260419_01\kunmingr2\kunmingr2__5__2\regression_compare.json
